"Timestamp","What is your age or what age group do you belong to?","What is your gender?","What is your ethnicity?","What is your current level of studies?","You are under what faculty?","Do you know what is ChatGPT?","Do you think universities should allow the use of ChatGPT?","What do you think you could use ChatGPT for? (Select all that applies)","On a scale of 5 how do you think that the use of AI tools such as ChatGPT would inhibit education? ","Do you think ChatGPT is plagiarism in and of itself? ","Optional: If so, then why/why not?","Now that you have an idea of what ChatGPT is, what would be the use of ChatGPT by students? (Select all that applies) ","Finally, do you think students will be more depandant on AI such as ChatGPT in the future?","Do you use ChatGPT?","Do you think universities should allow the use of ChatGPT? (If you use ChatGPT)","On a scale of 5 how do you think that the use of AI tools such as ChatGPT would inhibit education? (using ChatGPT) ","Do you think ChatGPT is plagiarism in and of itself? (If you use ChatGPT) ","Optional: If so, then why/why not?","On a scale of 10, how often do you use it?","In what way do you think ChatGPT is beneficial to education? (Select all that applies) ","Do you think universities should allow the use of ChatGPT? (If you do not use ChatGPT)","On a scale of 5 how do you think that the use of AI tools such as ChatGPT would inhibit education? (Not using ChatGPT) ","Do you think ChatGPT is plagiarism in and of itself?  (If you do not use ChatGPT) ","Optional: If so, then why/why not?","On a scale of 10, how dangerous do you think is AI such as ChatGPT?","Why don't you use ChatGPT? (Select all that applies) "
"2023/02/24 11:56:11 PM AST","19","Male","Multiracial","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","Yes","2","Yes","","10","Fear of AI;Not dependable;Invasion of privacy"
"2023/03/01 8:08:58 PM AST","19","Female","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","No","","","","","","","No","4","Yes","","5","Not dependable"
"2023/03/01 8:22:11 PM AST","21","Male","Asian","Undergraduate","Faculty of Mathematics","Yes","","","","","","","","Yes","Yes","4","No","You can learn a lot of stuff ","3","Help in academic homework/assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","Yes","3","Yes","","6","Not dependable;Did not have time to use it"
"2023/03/01 8:25:40 PM AST","19","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","No","5","Yes","It is using information that it finds on the web to create it’s response. ","10","Not interested"
"2023/03/01 8:26:19 PM AST","20","Female","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","No","","","","","","","No","2","Yes","i feel like chatGPT allows students to check their answers and confirm their understanding, however  universities shouldnt encourage using chatgpt but also shouldnt punish students for using jt","4","Invasion of privacy"
"2023/03/01 8:50:47 PM AST","18","Female","Other","Undergraduate","Faculty of Arts","Yes","","","","","","","","No","","","","","","","Yes","2","Yes","Yes because it has a set of the same commands and is not broad this will make it plagiarism ","1","Did not have time to use it"
"2023/03/01 9:07:43 PM AST","20","Male","Other","Undergraduate","Computer science and engineering","Yes","","","","","","","","Yes","Yes","3","No","Its AI generated hence, whichever information is being shown is completely new information, theres ways to verify use of chatgpt in assignments so students cant plagiarize from chatgpt","3","Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","Yes","2","No","Its AI generated hence, whichever information is being shown is completely new information, theres ways to verify use of chatgpt in assignments so students cant plagiarize from chatgpt","5","I use Chatgpt"
"2023/03/01 9:08:49 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","5","Yes","/","10","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas;None","Yes","5","Yes","/","5","Invasion of privacy"
"2023/03/01 9:10:19 PM AST","20","Male","Asian","Undergraduate","Faculty of Science","Yes","","","","","","","","Yes","Yes","3","Yes","/","5","Help in academic homework/assignments;Help to grade assignments;Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","Yes","2","Yes","/","5","Invasion of privacy"
"2023/03/01 9:16:43 PM AST","20","Male","Asian","Undergraduate","Faculty of Engineering","Yes","","","","","","","","Yes","Yes","1","No","","4","Help to reference/ look for sources/ citations;Help to teach other students;Help to innovate new ideas","Yes","1","No","","3","Not interested"
